squad_type,role,bench_order,is_captain,is_vice_captain,web_name,team_name,position,now_cost,xp_next,photo_url,next_opponent,next_is_home,next_fixture_difficulty,xp_horizon,fixtures_horizon,start_rate,xp_ceiling,haul_probability,set_piece_duties
Base,Banco,3,False,False,Calafiori,Arsenal,DEF,5.7,2.73,https://resources.premierleague.com/premierleague/photos/players/40x40/p466075.png,Chelsea,True,4,16.41,CHE(H) · SUN(A) · BHA(A) · LEE(H),0.7,6.0,0.035,
Base,Banco,4,False,False,João Pedro,Chelsea,FWD,7.7,1.3,https://resources.premierleague.com/premierleague/photos/players/40x40/p475168.png,Arsenal,False,5,14.29,ARS(A) · HUL(H) · BRE(A) · BOU(H),0.87,6.0,0.014,
Base proyectado,Titular,0,True,False,Thiago,Brentford,FWD,8.0,6.02,https://resources.premierleague.com/premierleague/photos/players/40x40/p502500.png,Sunderland,True,2,16.54,SUN(H) · BOU(A) · CHE(H) · AVL(A),0.98,10.0,0.194,Penales
Base proyectado,Titular,0,False,True,B.Fernandes,Man Utd,MID,12.0,5.32,https://resources.premierleague.com/premierleague/photos/players/40x40/p141746.png,Everton,False,3,19.52,EVE(A) · MCI(H) · FUL(A) · TOT(H),0.94,11.0,0.154,"Penales, Tiros libres, Córners"
Base proyectado,Titular,0,False,False,Mbeumo,Man Utd,MID,7.9,4.78,https://resources.premierleague.com/premierleague/photos/players/40x40/p446008.png,Everton,False,3,17.53,EVE(A) · MCI(H) · FUL(A) · TOT(H),0.87,11.0,0.131,
Base proyectado,Titular,0,False,False,Enzo,Man City,MID,6.9,4.21,https://resources.premierleague.com/premierleague/photos/players/40x40/p448047.png,Coventry City,True,2,12.62,COV(H) · MUN(A) · SUN(H) · LIV(A),0.7,8.0,0.092,
Base proyectado,Titular,0,False,False,Gibbs-White,Nott'm Forest,MID,7.9,3.96,https://resources.premierleague.com/premierleague/photos/players/40x40/p222531.png,Spurs,True,3,15.83,TOT(H) · AVL(A) · COV(H) · CRY(A),0.95,8.0,0.058,"Penales, Tiros libres"
Base proyectado,Titular,0,False,False,N.Williams,Nott'm Forest,DEF,5.0,3.87,https://resources.premierleague.com/premierleague/photos/players/40x40/p215136.png,Spurs,True,3,15.47,TOT(H) · AVL(A) · COV(H) · CRY(A),0.97,6.0,0.019,
Base proyectado,Titular,0,False,False,Shaw,Man Utd,DEF,4.5,3.76,https://resources.premierleague.com/premierleague/photos/players/40x40/p106760.png,Everton,False,3,13.8,EVE(A) · MCI(H) · FUL(A) · TOT(H),1.0,6.0,0.007,
Base proyectado,Titular,0,False,False,Calvert-Lewin,Leeds,FWD,6.0,3.73,https://resources.premierleague.com/premierleague/photos/players/40x40/p177815.png,Brighton,False,3,13.67,BHA(A) · NEW(H) · CRY(H) · ARS(A),0.87,9.0,0.091,Penales
Base proyectado,Titular,0,False,False,Thiaw,Newcastle,DEF,5.0,3.58,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,Bournemouth,True,3,16.7,BOU(H) · LEE(A) · HUL(H) · COV(A),0.92,8.0,0.027,
Base proyectado,Titular,0,False,False,E.Le Fée,Sunderland,MID,5.9,3.55,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,Brentford,False,3,11.82,BRE(A) · ARS(H) · MCI(A) · BHA(H),0.92,7.0,0.044,Córners
Base proyectado,Titular,0,False,False,Roefs,Sunderland,GKP,5.0,2.83,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,Brentford,False,3,9.43,BRE(A) · ARS(H) · MCI(A) · BHA(H),0.95,6.0,0.0,
Base proyectado,Banco,1,False,False,Raya,Arsenal,GKP,6.0,2.66,https://resources.premierleague.com/premierleague/photos/players/40x40/p154561.png,Chelsea,True,4,15.97,CHE(H) · SUN(A) · BHA(A) · LEE(H),0.98,6.0,0.0,
Base proyectado,Banco,2,False,False,Hume,Sunderland,DEF,4.5,3.05,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,Brentford,False,3,10.16,BRE(A) · ARS(H) · MCI(A) · BHA(H),0.81,6.0,0.016,
Base proyectado,Banco,3,False,False,Calafiori,Arsenal,DEF,5.7,2.73,https://resources.premierleague.com/premierleague/photos/players/40x40/p466075.png,Chelsea,True,4,16.41,CHE(H) · SUN(A) · BHA(A) · LEE(H),0.7,6.0,0.035,
Base proyectado,Banco,4,False,False,João Pedro,Chelsea,FWD,7.7,1.3,https://resources.premierleague.com/premierleague/photos/players/40x40/p475168.png,Arsenal,False,5,14.29,ARS(A) · HUL(H) · BRE(A) · BOU(H),0.87,6.0,0.014,
Wildcard,Titular,0,True,False,Haaland,Man City,FWD,15.5,6.7,https://resources.premierleague.com/premierleague/photos/players/40x40/p223094.png,Coventry City,True,2,20.09,COV(H) · MUN(A) · SUN(H) · LIV(A),0.93,13.0,0.262,Penales
Wildcard,Titular,0,False,True,Thiago,Brentford,FWD,8.0,6.02,https://resources.premierleague.com/premierleague/photos/players/40x40/p502500.png,Sunderland,True,2,16.54,SUN(H) · BOU(A) · CHE(H) · AVL(A),0.98,10.0,0.194,Penales
Wildcard,Titular,0,False,False,Guéhi,Man City,DEF,6.0,5.93,https://resources.premierleague.com/premierleague/photos/players/40x40/p209036.png,Coventry City,True,2,17.78,COV(H) · MUN(A) · SUN(H) · LIV(A),0.95,9.0,0.099,
Wildcard,Titular,0,False,False,Virgil,Liverpool,DEF,6.5,5.54,https://resources.premierleague.com/premierleague/photos/players/40x40/p97032.png,Ipswich Town,False,2,18.02,IPS(A) · FUL(H) · BOU(A) · MCI(H),1.0,8.0,0.051,
Wildcard,Titular,0,False,False,Schade,Brentford,MID,6.0,5.29,https://resources.premierleague.com/premierleague/photos/players/40x40/p513418.png,Sunderland,True,2,14.54,SUN(H) · BOU(A) · CHE(H) · AVL(A),0.9,10.0,0.101,
Wildcard,Titular,0,False,False,Semenyo,Man City,MID,8.5,5.25,https://resources.premierleague.com/premierleague/photos/players/40x40/p437730.png,Coventry City,True,2,15.75,COV(H) · MUN(A) · SUN(H) · LIV(A),0.98,8.0,0.086,
Wildcard,Titular,0,False,False,Kayode,Brentford,DEF,4.6,5.16,https://resources.premierleague.com/premierleague/photos/players/40x40/p607464.png,Sunderland,True,2,14.18,SUN(H) · BOU(A) · CHE(H) · AVL(A),0.98,8.0,0.044,
Wildcard,Titular,0,False,False,Gakpo,Liverpool,MID,7.1,5.11,https://resources.premierleague.com/premierleague/photos/players/40x40/p243298.png,Ipswich Town,False,2,16.61,IPS(A) · FUL(H) · BOU(A) · MCI(H),0.9,8.0,0.09,
Wildcard,Titular,0,False,False,Szoboszlai,Liverpool,MID,7.0,5.07,https://resources.premierleague.com/premierleague/photos/players/40x40/p424876.png,Ipswich Town,False,2,16.47,IPS(A) · FUL(H) · BOU(A) · MCI(H),0.97,8.0,0.069,"Penales, Tiros libres, Córners"
Wildcard,Titular,0,False,False,Mbeumo,Man Utd,MID,7.9,4.78,https://resources.premierleague.com/premierleague/photos/players/40x40/p446008.png,Everton,False,3,17.53,EVE(A) · MCI(H) · FUL(A) · TOT(H),0.87,11.0,0.131,
Wildcard,Titular,0,False,False,Verbruggen,Brighton,GKP,4.5,3.98,https://resources.premierleague.com/premierleague/photos/players/40x40/p489639.png,Leeds,True,2,12.94,LEE(H) · COV(A) · ARS(H) · SUN(A),1.0,6.0,0.0,
Wildcard,Banco,1,False,False,Dubravka,Spurs,GKP,4.0,1.45,https://resources.premierleague.com/premierleague/photos/players/40x40/p67089.png,Nott'm Forest,False,3,5.32,NFO(A) · EVE(H) · AVL(H) · MUN(A),0.58,2.0,0.0,
Wildcard,Banco,2,False,False,F.Kadıoğlu,Brighton,DEF,4.4,3.81,https://resources.premierleague.com/premierleague/photos/players/40x40/p231416.png,Leeds,True,2,12.39,LEE(H) · COV(A) · ARS(H) · SUN(A),0.81,6.0,0.024,
Wildcard,Banco,3,False,False,Diop,Ipswich Town,DEF,4.0,1.29,https://resources.premierleague.com/premierleague/photos/players/40x40/p219924.png,Liverpool,True,4,7.72,LIV(H) · CRY(A) · EVE(A) · FUL(H),0.51,2.0,0.004,
Wildcard,Banco,4,False,False,Nmecha,Leeds,FWD,5.5,0.8,https://resources.premierleague.com/premierleague/photos/players/40x40/p174594.png,Brighton,False,3,2.93,BHA(A) · NEW(H) · CRY(H) · ARS(A),0.16,2.0,0.021,
